Feature,Importance
feature_195,0.005812914231754007
feature_167,0.0052051585855856786
feature_197,0.00173435420995105
feature_105,0.001629923419326218
feature_151,0.0014226366278329294
feature_114,0.0012983355591345003
feature_127,0.0010881864596576918
feature_126,0.0009904317285851505
feature_63,0.0008925159847414932
feature_166,0.0008391070770805698
feature_206,0.0006538973970542372
feature_83,0.0005649757009891232
feature_28,0.000326248605642121
feature_184,0.00030082802577524603
feature_92,0.00011494341312001666
feature_176,0.0001106566893476213
feature_102,3.590141862730434e-05
feature_170,1.0624947382353866e-05
feature_192,2.422963344628215e-06
feature_122,0.0
feature_152,0.0
feature_45,0.0
feature_73,0.0
feature_6,0.0
feature_135,0.0
feature_139,0.0
feature_140,0.0
feature_175,-1.8212097341319122e-05
feature_11,-2.5217910160080237e-05
feature_0,-6.78996180845104e-05
feature_158,-8.326477971820623e-05
feature_78,-0.0001331137942379712
feature_14,-0.00013384151625572827
feature_52,-0.0001720719767810408
feature_159,-0.0003079321985275385
feature_70,-0.00033383615357251983
feature_131,-0.00039178499964265256
feature_77,-0.0004015669254968657
feature_1,-0.0004215900514985549
feature_80,-0.0004967834822835471
feature_198,-0.0009986812145648116
feature_12,-0.0010422725172638536
feature_47,-0.0022666062304104173
feature_9,-0.002441046431133742
feature_16,-0.002771466441316761
feature_108,-0.0033929795469731516
feature_179,-0.0038890725401472537
feature_90,-0.004500581920819258
feature_216,-0.004655099513570349
feature_164,-0.027105015230706186
